#---------------------------------------------------
#                 SIR simulation 2020               
#                         by mirinnes               
#----------------------------------------------------
#                                                    
#CANT HAB: 1000
#REGION: [0,10]x[0,10]
#PERIOD DUR: 100
#LONG CONTAG: 0.5
#D   S    I    R
1    999    1    0
2    996    4    0
3    980    20    0
4    944    56    0
5    894    106    0
6    844    156    0
7    770    229    1
8    668    328    4
9    552    428    20
10    405    539    56
11    246    648    106
12    128    716    156
13    55    715    230
14    27    641    332
15    5    547    448
16    0    405    595
17    0    246    754
18    0    128    872
19    0    55    945
20    0    27    973
21    0    5    995
22    0    0    1000
23    0    0    1000
24    0    0    1000
25    0    0    1000
26    0    0    1000
27    0    0    1000
28    0    0    1000
29    0    0    1000
30    0    0    1000
31    0    0    1000
32    0    0    1000
33    0    0    1000
34    0    0    1000
35    0    0    1000
36    0    0    1000
37    0    0    1000
38    0    0    1000
39    0    0    1000
40    0    0    1000
41    0    0    1000
42    0    0    1000
43    0    0    1000
44    0    0    1000
45    0    0    1000
46    0    0    1000
47    0    0    1000
48    0    0    1000
49    0    0    1000
50    0    0    1000
51    0    0    1000
52    0    0    1000
53    0    0    1000
54    0    0    1000
55    0    0    1000
56    0    0    1000
57    0    0    1000
58    0    0    1000
59    0    0    1000
60    0    0    1000
61    0    0    1000
62    0    0    1000
63    0    0    1000
64    0    0    1000
65    0    0    1000
66    0    0    1000
67    0    0    1000
68    0    0    1000
69    0    0    1000
70    0    0    1000
71    0    0    1000
72    0    0    1000
73    0    0    1000
74    0    0    1000
75    0    0    1000
76    0    0    1000
77    0    0    1000
78    0    0    1000
79    0    0    1000
80    0    0    1000
81    0    0    1000
82    0    0    1000
83    0    0    1000
84    0    0    1000
85    0    0    1000
86    0    0    1000
87    0    0    1000
88    0    0    1000
89    0    0    1000
90    0    0    1000
91    0    0    1000
92    0    0    1000
93    0    0    1000
94    0    0    1000
95    0    0    1000
96    0    0    1000
97    0    0    1000
98    0    0    1000
99    0    0    1000
100    0    0    1000
101    0    0    1000
