#---------------------------------------------------
#                 SIR simulation 2020               
#                         by mirinnes               
#----------------------------------------------------
#                                                    
#CANT HAB: 5000
#REGION: [0,50]x[0,50]
#PERIOD DUR: 50
#LONG CONTAG: 0.5
#D   S    I    R
1    4999    1    0
2    4999    1    0
3    4998    2    0
4    4995    5    0
5    4991    9    0
6    4986    14    0
7    4985    14    1
8    4984    15    1
9    4976    22    2
10    4970    25    5
11    4965    26    9
12    4959    27    14
13    4954    31    15
14    4947    37    16
15    4943    33    24
16    4936    34    30
17    4932    33    35
18    4928    31    41
19    4923    31    46
20    4918    29    53
21    4913    30    57
22    4909    27    64
23    4899    33    68
24    4895    33    72
25    4890    33    77
26    4885    33    82
27    4878    35    87
28    4863    46    91
29    4855    44    101
30    4846    49    105
31    4835    55    110
32    4822    63    115
33    4812    66    122
34    4804    59    137
35    4794    61    145
36    4780    66    154
37    4761    74    165
38    4750    72    178
39    4739    73    188
40    4714    90    196
41    4695    99    206
42    4680    100    220
43    4662    99    239
44    4642    108    250
45    4624    115    261
46    4600    114    286
47    4584    111    305
48    4555    125    320
49    4534    128    338
50    4512    130    358
51    4488    136    376
